City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Puerto Ayora,EC,-0.7393,-90.3518,79.0,89,16,3.0,few clouds
80,Clyde River,CA,70.4692,-68.5914,-4.0,77,75,3.44,broken clouds
81,Sitka,US,57.0531,-135.33,37.4,75,75,16.11,light snow
82,Namibe,AO,-15.1961,12.1522,74.89,76,100,4.36,overcast clouds
83,Abu Dhabi,AE,24.4667,54.3667,77.0,44,0,3.44,clear sky
84,Atuona,PF,-9.8,-139.0333,81.05,76,74,20.42,light rain
85,Geraldton,AU,-28.7667,114.6,64.4,68,4,6.91,clear sky
86,Castro,BR,-24.7911,-50.0119,66.54,88,92,3.42,heavy intensity rain
87,Ajdabiya,LY,30.7554,20.2263,55.42,53,1,9.55,clear sky
88,Chokurdakh,RU,70.6333,147.9167,1.47,87,100,6.73,overcast clouds
89,Bilibino,RU,68.0546,166.4372,-4.34,83,18,2.57,few clouds
90,Bluff,NZ,-46.6,168.3333,61.0,87,100,3.0,overcast clouds
91,Ostrovnoy,RU,68.0531,39.5131,32.11,89,95,23.51,overcast clouds
92,Perbaungan,ID,3.5679,98.956,75.2,100,40,9.22,mist
93,Basco,PH,20.4487,121.9702,79.86,85,9,17.05,clear sky
94,Galesong,ID,-5.3166,119.3661,78.8,94,20,3.44,few clouds
95,Bathsheba,BB,13.2167,-59.5167,77.0,69,20,18.41,few clouds
96,Praia Da Vitoria,PT,38.7333,-27.0667,60.01,88,75,4.12,broken clouds
97,Qaanaaq,GL,77.484,-69.3632,-13.5,86,99,5.99,overcast clouds
98,Menongue,AO,-14.6585,17.691,61.18,94,51,2.64,broken clouds
99,Turayf,SA,31.6725,38.6637,44.6,57,0,13.8,clear sky
100,Faanui,PF,-16.4833,-151.75,82.72,73,37,21.21,scattered clouds
101,Hobart,AU,-42.8794,147.3294,61.0,63,40,14.97,scattered clouds
102,Padang,ID,-0.9492,100.3543,77.0,94,75,6.91,broken clouds
103,Takaka,NZ,-40.85,172.8,66.99,86,100,13.0,overcast clouds
104,Nanortalik,GL,60.1432,-45.2371,15.94,59,100,12.33,overcast clouds
105,Egvekinot,RU,66.3167,-179.1667,-8.32,95,73,2.93,broken clouds
106,Yarmouth,US,41.7057,-70.2286,43.0,81,1,9.22,clear sky
107,Barrow,US,71.2906,-156.7887,-11.2,77,1,4.61,clear sky
108,Aneho,TG,6.2333,1.6,82.4,78,20,9.22,few clouds
109,East London,ZA,-33.0153,27.9116,65.16,72,81,12.12,broken clouds
110,Bengkulu,ID,-3.8004,102.2655,75.16,85,100,5.48,overcast clouds
111,Songjianghe,CN,42.1859,127.479,40.06,91,100,1.1,overcast clouds
112,Saint-Philippe,RE,-21.3585,55.7679,75.2,83,0,5.75,light rain
113,Liverpool,GB,53.4106,-2.9779,51.8,76,90,18.41,overcast clouds
114,Ban Phai,TH,16.06,102.731,82.99,78,87,3.44,overcast clouds
115,Mahebourg,MU,-20.4081,57.7,73.4,94,75,5.75,broken clouds
116,Paciran,ID,-6.8767,112.3761,79.32,85,37,4.05,scattered clouds
117,Luderitz,NA,-26.6481,15.1594,63.43,72,0,11.99,clear sky
118,Dromolaxia,CY,34.8761,33.586,46.99,65,0,8.05,clear sky
119,Vila Franca Do Campo,PT,37.7167,-25.4333,51.8,82,20,2.06,few clouds
120,Mayo,US,38.8876,-76.5119,59.0,58,20,11.5,few clouds
121,Hofn,IS,64.2539,-15.2082,32.88,94,100,15.08,snow
122,Aquiraz,BR,-3.9014,-38.3911,77.0,88,75,3.44,broken clouds
123,Muros,ES,42.7762,-9.0603,46.99,89,1,6.17,clear sky
124,Nova Londrina,BR,-22.7658,-52.985,76.77,67,69,7.18,moderate rain
125,Hithadhoo,MV,-0.6,73.0833,83.28,74,100,15.14,moderate rain
126,Payson,US,40.0444,-111.7321,54.0,37,20,5.75,few clouds
127,Manoel Urbano,BR,-8.8389,-69.2597,75.2,92,82,2.51,broken clouds
128,Mount Gambier,AU,-37.8333,140.7667,59.0,88,40,8.05,scattered clouds
129,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,78,0,4.61,clear sky
130,Catuday,PH,16.2923,119.8062,80.73,71,66,4.65,broken clouds
131,Roma,US,43.2128,-75.4557,46.4,61,1,4.61,clear sky
132,Sechura,PE,-5.5569,-80.8222,77.81,60,68,17.38,broken clouds
133,Prince Rupert,CA,54.3161,-130.3201,44.6,93,90,9.22,light rain
134,Caxias,PT,38.7031,-9.2767,59.0,58,0,6.91,clear sky
135,Wattegama,LK,6.7989,81.4808,74.25,79,82,1.59,heavy intensity rain
136,Chernyshevskiy,RU,63.0128,112.4714,17.69,95,99,6.13,overcast clouds
137,Waingapu,ID,-9.6567,120.2641,81.68,78,85,5.23,overcast clouds
138,Fartura,BR,-23.3883,-49.51,69.35,86,76,3.47,broken clouds
139,Zuwarah,LY,32.9312,12.082,63.01,51,96,11.18,overcast clouds
140,Nouakchott,MR,18.0858,-15.9785,71.6,60,13,21.85,few clouds
141,Mandiana,GN,10.6333,-8.6833,82.8,12,11,2.86,few clouds
142,Torbay,CA,47.6666,-52.7314,27.0,93,90,26.46,light snow
143,Hermanus,ZA,-34.4187,19.2345,55.99,83,5,1.01,clear sky
144,Pevek,RU,69.7008,170.3133,-6.57,89,57,6.82,broken clouds
145,Palafrugell,ES,41.9174,3.1631,46.99,87,0,1.14,clear sky
146,Yelizovo,RU,53.1873,158.3805,32.0,43,100,24.61,overcast clouds
147,Saskylakh,RU,71.9167,114.0833,-9.65,99,99,0.4,overcast clouds
148,Rodeo,US,38.033,-122.2669,78.8,21,1,6.91,clear sky
149,Sao Filipe,CV,14.8961,-24.4956,70.21,72,2,13.2,clear sky
150,Pacific Grove,US,36.6177,-121.9166,68.0,40,1,5.75,clear sky
151,Carnarvon,AU,-24.8667,113.6333,78.8,73,0,2.01,clear sky
152,Kandrian,PG,-6.2167,149.55,84.58,72,100,7.0,overcast clouds
153,Bac Lieu,VN,9.285,105.7244,81.45,75,30,12.24,scattered clouds
154,Ribeira Grande,PT,38.5167,-28.7,60.21,83,93,8.95,overcast clouds
155,Mogadishu,SO,2.0371,45.3438,80.2,83,98,14.25,overcast clouds
156,Tiksi,RU,71.6872,128.8694,7.83,94,100,3.2,overcast clouds
157,Lalmohan,BD,22.3384,90.7419,76.78,60,69,2.73,broken clouds
158,Luganville,VU,-15.5333,167.1667,84.25,74,58,9.51,broken clouds
159,Lagunas,PE,-5.2269,-75.6753,75.58,98,94,1.45,overcast clouds
160,Bukachacha,RU,52.9833,116.9167,27.57,88,100,7.34,overcast clouds
161,Sept-Iles,CA,50.2001,-66.3821,24.8,58,20,3.44,few clouds
162,Hubli,IN,15.35,75.1667,73.89,80,74,8.23,broken clouds
163,Kwinana,AU,-32.25,115.7667,66.99,72,0,2.3,clear sky
164,Conneaut,US,41.9476,-80.5542,62.6,39,1,3.44,clear sky
165,New Norfolk,AU,-42.7826,147.0587,57.99,90,100,1.01,overcast clouds
166,Ilhabela,BR,-23.7781,-45.3581,78.24,87,8,5.77,clear sky
167,Nikolskoye,RU,59.7035,30.7861,39.99,70,0,6.71,clear sky
168,Ambon,ID,-3.6954,128.1814,77.0,94,40,3.44,moderate rain
169,Lorengau,PG,-2.0226,147.2712,82.53,80,94,8.99,overcast clouds
170,Khatanga,RU,71.9667,102.5,0.59,96,98,8.25,overcast clouds
171,Burgeo,CA,47.6167,-57.6152,24.89,72,100,22.48,overcast clouds
172,Kamenka,RU,51.3223,42.7678,35.01,85,100,8.05,overcast clouds
173,Pangnirtung,CA,66.1451,-65.7125,-6.52,83,94,2.71,overcast clouds
174,Yellowknife,CA,62.456,-114.3525,26.6,46,75,10.36,broken clouds
175,Asau,RO,46.4333,26.4,41.0,49,32,5.66,light rain
176,Narsaq,GL,60.9167,-46.05,10.4,52,75,1.14,broken clouds
177,Malartic,CA,48.1335,-78.1328,41.0,48,75,2.3,broken clouds
178,Lebu,CL,-37.6167,-73.65,56.35,87,12,18.95,few clouds
179,Bilma,NE,18.6853,12.9164,69.48,15,0,18.72,clear sky
180,Algeciras,ES,36.1333,-5.4505,62.6,82,75,19.57,broken clouds
181,Half Moon Bay,US,37.4636,-122.4286,75.2,82,1,9.22,haze
182,Kokopo,PG,-4.352,152.2633,84.29,63,100,4.52,overcast clouds
183,Uyskoye,RU,54.3775,60.0047,24.71,90,97,15.82,overcast clouds
184,Senanga,ZM,-16.1167,23.2667,64.72,94,81,4.85,broken clouds
185,Cabo San Lucas,MX,22.8909,-109.9124,77.0,56,20,11.5,few clouds
186,Dunedin,NZ,-45.8742,170.5036,68.0,70,87,1.99,light rain
187,San Cristobal,VE,7.7669,-72.225,73.4,94,75,2.3,fog
188,Gravdal,NO,68.1214,13.5031,35.11,84,100,21.88,light snow
189,Tasiilaq,GL,65.6145,-37.6368,19.4,45,90,8.05,overcast clouds
190,Lavrentiya,RU,65.5833,-171.0,-1.62,84,20,4.43,few clouds
191,Arlit,NE,18.7369,7.3853,67.51,17,0,8.41,clear sky
192,Chuy,UY,-33.6971,-53.4616,68.38,89,100,3.36,overcast clouds
193,Kailua,US,21.4022,-157.7394,82.4,73,40,14.97,scattered clouds
194,Fortuna,US,40.5982,-124.1573,62.01,76,1,16.11,clear sky
195,San Ramon,US,37.7799,-121.978,78.01,20,1,9.22,clear sky
196,Tilichiki,RU,60.4667,166.1,10.83,87,100,14.0,overcast clouds
197,Kurikka,FI,62.6167,22.4167,41.0,81,0,8.05,light rain
198,Pasighat,IN,28.0667,95.3333,67.35,31,0,2.75,clear sky
