City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Mackay,AU,82.99,clear sky,-21.15,149.2,International Lodge Motel
201,Nsanje,MW,72.18,moderate rain,-16.92,35.262,Nsanje Discovery Lodge
203,Boffa,GN,75.25,clear sky,10.1667,-14.0333,Hôtel Niara Belly
207,Sawtell,AU,78.8,clear sky,-30.3833,153.1,Island Beach House Sawtell
209,Port Macquarie,AU,79.0,clear sky,-31.4333,152.9167,Rydges Port Macquarie
211,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
212,Ibateguara,BR,75.2,light rain,-8.9725,-35.9394,Auto Posto e Pousada TopLine
213,Isangel,VU,82.4,few clouds,-19.55,169.2667,Volcano Sea View Tree House
217,Effingham,US,78.8,clear sky,32.3669,-81.3332,Elizabeth Hobbs
219,Hambantota,LK,77.05,overcast clouds,6.1241,81.1185,Bungalow 63
220,Weligama,LK,76.51,overcast clouds,5.9667,80.4167,Weligama Bay Resort
224,Farah,AF,74.68,broken clouds,32.5,62.5,
225,Vila Velha,BR,78.8,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
226,Washim,IN,78.42,clear sky,20.1,77.15,Hotel Maniprabha
227,Akyab,MM,76.01,overcast clouds,20.15,92.9,Hotel Memory
228,Alofi,NU,84.2,light rain,-19.0595,-169.9187,Taloa Heights
229,Emerald,AU,82.0,clear sky,-23.5333,148.1667,The Irish Village
230,Carora,VE,78.3,overcast clouds,10.1755,-70.0827,Hotel Irpinia
231,Tarauaca,BR,74.88,overcast clouds,-8.1614,-70.7656,Flat Temporada
234,Kavieng,PG,84.94,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
235,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
238,Edgewater,US,75.99,clear sky,28.9889,-80.9023,Islander Beach Resort
239,Quang Ngai,VN,73.69,overcast clouds,15.1167,108.8,Central Hotel
243,Meulaboh,ID,76.57,broken clouds,4.1363,96.1285,Kost Pria
244,Camocim,BR,75.99,light rain,-2.9022,-40.8411,Hotel Ilha do Amor
246,Kota Kinabalu,MY,80.6,few clouds,5.9749,116.0724,Gaya Centre Hotel
247,Kralendijk,BQ,78.8,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
256,Vao,NC,77.99,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
259,Yenagoa,NG,77.7,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
260,Touros,BR,77.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
262,Souillac,MU,73.4,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
263,Sokolo,ML,84.42,clear sky,14.7328,-6.1219,
267,Noumea,NC,87.8,clear sky,-22.2763,166.4572,Hôtel Le Lagon
269,Port-Gentil,GA,78.8,few clouds,-0.7193,8.7815,Fengshui Residence
270,Baturaja,ID,73.56,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
272,Imbituba,BR,75.2,light rain,-28.24,-48.6703,Praia Hotel Imbituba
273,Ananas,HT,72.43,broken clouds,19.2466,-71.9557,
278,Loandjili,CG,82.4,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
281,Taoudenni,ML,78.4,clear sky,22.6783,-3.9836,
283,Avarua,CK,86.0,broken clouds,-21.2078,-159.775,Paradise Inn
284,Nishihara,JP,77.0,broken clouds,26.1842,127.7558,Minshuku Agaihama
287,Rudbar,AF,78.73,clear sky,30.15,62.6,
289,Mudgee,AU,70.0,clear sky,-32.5943,149.5871,Parklands Resort & Conference Centre
290,Coruripe,BR,76.66,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
296,Nelson Bay,AU,75.0,clear sky,-32.7167,152.15,Mantra Nelson Bay
297,Tecoanapa,MX,82.15,clear sky,16.5167,-98.75,Hotel Manglares
298,Port Moresby,PG,84.2,few clouds,-9.4431,147.1797,Lamana Hotel
300,Valentin Gomez Farias,MX,72.0,clear sky,28.2167,-106.5833,
301,Bintulu,MY,77.0,scattered clouds,3.1667,113.0333,900 Boutique INN
302,Morant Bay,JM,82.4,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
304,Atar,MR,78.22,clear sky,20.5169,-13.0499,Oumou Elghoura
306,Bom Jesus,BR,81.36,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
309,Katobu,ID,76.21,overcast clouds,-4.9408,122.5276,La Ode Husein
310,Grand Gaube,MU,77.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
313,Ballina,AU,77.0,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
314,Boa Vista,BR,86.0,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
319,Sao Felix Do Xingu,BR,71.87,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
322,Gigmoto,PH,80.89,overcast clouds,13.7796,124.39,Cj's Travellers Inn
325,Kulim,MY,80.6,few clouds,5.365,100.5618,Hotel Kulim
328,Pekan,MY,75.2,few clouds,3.4836,103.3996,Pekan Budget Hotel
332,Fare,PF,82.33,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
336,San Andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
340,Huarmey,PE,71.02,scattered clouds,-10.0681,-78.1522,Hotel Miramar
341,Tevaitoa,PF,82.31,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
347,Liberty,US,80.6,scattered clouds,31.8335,-81.5004,Sasser Trailer Park
353,Kilinochchi,LK,75.74,overcast clouds,9.3961,80.3982,Solaivanam Guest House
355,Caravelas,BR,75.88,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
362,Marsabit,KE,71.65,overcast clouds,2.3284,37.9899,Chicho Hotel
363,Pochutla,MX,89.6,clear sky,15.7432,-96.4661,Hotel Posada San Jose
365,Coahuayana,MX,78.8,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
371,Sao Joao Da Barra,BR,77.32,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
372,Harper,LR,77.54,light rain,4.375,-7.7169,Screensaver
373,Upata,VE,75.99,scattered clouds,8.0086,-62.3989,Posada Villa Nela
378,Chimoio,MZ,71.6,scattered clouds,-19.1164,33.4833,Predio Livraria Ahmed
387,Bajil,YE,77.65,few clouds,15.0584,43.2851,فندق الجلال
